CARRIER,CARRIER_CD_ICAO,FLTNO,FLTSUFFX,DEPAPT,DEP_PORT_CD_ICAO,DEPTERM,DEPCITY,DEPCTRY,ARRAPT,ARR_PORT_CD_ICAO,ARRTERM,ARRCITY,ARRCTRY,DEPTIM,SCHEDULED_DEPARTURE_TIME_UTC,SCHEDULED_DEPARTURE_DATE_TIME_LOCAL,SCHEDULED_DEPARTURE_DATE_TIME_UTC,ARRTIM,SCHEDULED_ARRIVAL_TIME_UTC,SCHEDULED_ARRIVAL_DATE_TIME_LOCAL,SCHEDULED_ARRIVAL_DATE_TIME_UTC,ARRDAY,ELPTIM,FLIGHT_DATE,SCHEDULED_DEPARTURE_DATE_UTC,SCHEDULED_ARRIVAL_DATE_LOCAL,SCHEDULED_ARRIVAL_DATE_UTC,STOPS,GENACFT,INPACFT,EQUIPMENT_CD_ICAO,ACFTCHANGE,SERVICE,PX,MEALS,FRTCLASS,TONS,COMM10_50,OPERATING,GHOST,DUPCARFL,SAD,SAD_NAME,ACFT_OWNER,RESTRICT,DOMINT,ROUTING,LONGEST,INTAPT,DISTANCE,GOVT_APP,INFLTSERVICE,SECUREFLT,FIRST_CLASS_SEATS,BUSINESS_CLASS_SEATS,PREMIUM_ECONOMY_CLASS_SEATS,ECONOMY_PLUS_CLASS_SEATS,ECONOMY_CLASS_SEATS,TOTAL_SEATS,OAG_SCHEDULE_FINGERPRINT,FILE_DATE,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE
BF,FBU,7431,,XDB,,,LIL,FR,ZYR,,,BRU,BE,1028,0828,2024-09-02 10:28:00.000,2024-09-02 08:28:00.000,1101,0901,2024-09-02 11:01:00.000,2024-09-02 09:01:00.000,,00033,2024-09-02,2024-09-02,2024-09-02,2024-09-02,0,TRN,TRN,,,U,Y,-/-/-/-,LP,0.0000000000,050,N,,9B:9131,2C,SNCF FOR ACCESRAIL,2C,A,II,QJZQXGZLNXJYCDGXDBZYR,,,64,,9,,0,0,0,0,100,100,b183feebe9eb59ccf9dae451f40c15696f95189d723ed8c35e53af6c4c34ce60,2024-09-02,SYSTEM,2025-02-11 00:00:00.000,SYSTEM,2025-02-11 00:00:00.000
AF,AFR,9915,,JFK,KJFK,4,NYC,US,MAN,EGCC,2,MAN,GB,1840,2240,2024-09-11 18:40:00.000,2024-09-11 22:40:00.000,0655,0555,2024-09-12 06:55:00.000,2024-09-12 05:55:00.000,1,00715,2024-09-11,2024-09-11,2024-09-12,2024-09-12,0,330,333,A333,,J,JCDIZWSAYBMUKHLQTENRV,D/D/D/D,LP,10.0000000000,050,N,,VS:128,VS,VIRGIN ATLANTIC AIRWAYS,VS,,II,JFKMAN,L,,3332,,9,S,0,31,48,0,185,264,270cda01fb409d2be64e344cdec4fee93a5057fda598247217235571918cbd29,2024-09-02,SYSTEM,2025-02-11 00:00:00.000,SYSTEM,2025-02-11 00:00:00.000
OA,OAL,6357,,JTR,LGSR,,JTR,GR,ATH,LGAV,,ATH,GR,1230,0930,2024-09-11 12:30:00.000,2024-09-11 09:30:00.000,1320,1020,2024-09-11 13:20:00.000,2024-09-11 10:20:00.000,,00050,2024-09-11,2024-09-11,2024-09-11,2024-09-11,0,32S,320,A320,,J,CDZAIRYBMHQVWOLKJESTUPGNXF,-/-/-/-,LP,9.4400000000,050,N,,A3:357,A3,AEGEAN AIRLINES,A3,,DD,JTRATH,L,,136,,9,,0,0,0,0,174,174,0f351a45de06c1a6e4a445d65df3e63599e54c502db3e6fa2c296d5755a51343,2024-09-02,SYSTEM,2025-02-11 00:00:00.000,SYSTEM,2025-02-11 00:00:00.000
W9,WUK,5394,,BOJ,LBBG,,BOJ,BG,LTN,EGGW,,LON,GB,1240,0940,2024-09-25 12:40:00.000,2024-09-25 09:40:00.000,1425,1325,2024-09-25 14:25:00.000,2024-09-25 13:25:00.000,,00345,2024-09-25,2024-09-25,2024-09-25,2024-09-25,0,32S,321,A321,,J,Y,-/-/-/-,LP,4.6000000000,,,,,,,,B,II,BOJLTN,L,,1446,,9,,0,0,0,0,230,230,38ce884865477bec742e02be06b1719518f62274ea4c743d6fb17319f7545e85,2024-09-02,SYSTEM,2025-02-11 00:00:00.000,SYSTEM,2025-02-11 00:00:00.000
4Z,LNK,252,,JNB,FAOR,B,JNB,ZA,TNR,FMMI,,TNR,MG,1000,0800,2024-09-25 10:00:00.000,2024-09-25 08:00:00.000,1400,1100,2024-09-25 14:00:00.000,2024-09-25 11:00:00.000,,00300,2024-09-25,2024-09-25,2024-09-25,2024-09-25,0,EMJ,E90,E190,,J,CJDZYKHABPMTSEQVLGW,L/L/L/L,,2.3300000000,010,O,,UA:6462,,,4Z,,II,JNBTNR,L,,1327,,9,,0,6,0,0,92,98,85b1fadbece86092cc73ca6cb1be6e93732335a284189329bca00d4fe746000f,2024-09-02,SYSTEM,2025-02-11 00:00:00.000,SYSTEM,2025-02-11 00:00:00.000
JQ,JST,816,,SYD,YSSY,2,SYD,AU,BNE,YBBN,D,BNE,AU,0625,2025,2024-09-25 06:25:00.000,2024-09-24 20:25:00.000,0755,2155,2024-09-25 07:55:00.000,2024-09-24 21:55:00.000,,00130,2024-09-25,2024-09-24,2024-09-25,2024-09-24,0,32S,320,A320,,J,YBVTSRQPONMEFLAZIKHXC,-/-/-/-,LP,9.4000000000,,,,,,,,,DD,SYDBNE,L,,468,,,,0,0,0,0,186,186,ffe8732101783a89177282803abb21d181f81f910593bfb995f5adeb6ca3fecb,2024-09-02,SYSTEM,2025-02-11 00:00:00.000,SYSTEM,2025-02-11 00:00:00.000
UA,UAL,8006,,HND,RJTT,2,TYO,JP,CTS,RJCC,D,SPK,JP,1700,0800,2024-09-25 17:00:00.000,2024-09-25 08:00:00.000,1835,0935,2024-09-25 18:35:00.000,2024-09-25 09:35:00.000,,00135,2024-09-25,2024-09-25,2024-09-25,2024-09-25,0,777,772,B772,,J,JCDZPYBMUHQVWSTLK,-/-/-/-,LP,21.3300000000,050,N,,NH:73,NH,ALL NIPPON AIRWAYS,NH,G,DD,HNDCTS,L,,509,,,S,0,28,0,0,364,392,45d32a927ff988cad0106d67ce5795b7e96ece9477ec693c76de66aecf2d9c65,2024-09-02,SYSTEM,2025-02-11 00:00:00.000,SYSTEM,2025-02-11 00:00:00.000
JL,JAL,7036,,HKG,VHHH,1,HKG,HK,NGO,RJGG,1,NGO,JP,1000,0200,2024-09-26 10:00:00.000,2024-09-26 02:00:00.000,1500,0600,2024-09-26 15:00:00.000,2024-09-26 06:00:00.000,,00400,2024-09-26,2024-09-26,2024-09-26,2024-09-26,0,350,359,A359,,J,JCDIXWREYBHKMLVSNQOGZ,-/-/-/-,,53.3000000000,050,N,,CX:536,CX,CATHAY PACIFIC AIRWAYS,CX,,II,HKGNGO,L,,1631,,,,0,38,28,0,214,280,9f08852cbccb81eee21e58d87e21d5f451ae25174375caed261d280573595794,2024-09-02,SYSTEM,2025-02-11 00:00:00.000,SYSTEM,2025-02-11 00:00:00.000
VS,VIR,2167,,BWI,KBWI,,BWI,US,ATL,KATL,S,ATL,US,1823,2223,2024-09-22 18:23:00.000,2024-09-22 22:23:00.000,2019,0019,2024-09-22 20:19:00.000,2024-09-23 00:19:00.000,,00156,2024-09-22,2024-09-22,2024-09-22,2024-09-23,0,757,757,,,J,JCDIZWSHKYBRLUMEQXNOVT,-/-/-/-,LL,8.7000000000,050,N,,DL:1267,DL,DELTA AIR LINES,DL,G,DD,BWIATL,L,,576,,9,S,0,20,0,29,150,199,52070aae5a17a95a2a97c64f9d8385efe541d3733696b333cdb719d14689e8c7,2024-09-02,SYSTEM,2025-02-11 00:00:00.000,SYSTEM,2025-02-11 00:00:00.000
VS,VIR,4125,,LAX,KLAX,3,LAX,US,PHX,KPHX,3,PHX,US,2020,0320,2024-09-22 20:20:00.000,2024-09-23 03:20:00.000,2147,0447,2024-09-22 21:47:00.000,2024-09-23 04:47:00.000,,00127,2024-09-22,2024-09-23,2024-09-22,2024-09-23,0,EMJ,E7W,E75L,,J,JCDIZWSHKYBRLUMEQXNOVT,-/-/-/-,,0.0000000000,050,N,,DL:3827,OO,Skywest dba Delta Connection,OO,G,DD,LAXPHX,L,,369,,9,S,0,12,0,20,38,70,4a3a9bd551c7dc06f16cb40590a6e324f7521a968d97d6cfc1685734e96ce97b,2024-09-02,SYSTEM,2025-02-11 00:00:00.000,SYSTEM,2025-02-11 00:00:00.000
